,TS5b,TS5c,TS5d,TS8b,TS9b,TS9d,TS6a,TS6b,TS6c,TS6d,TS6e,TS6f,TS7a,TS7c,TS7e,TS7f,TS7g,TS7h,TS8a,TS8d,TS8J,TS8K,TS8L
TRINITY_DN33992_c0_g2,12.833,5.651,6.107,7.712,5.777,12.025,5.114,10.704,4.043,28.402,11.676,7.624,6.694,13.001,9.498,6.263,42.68,23.295,20.062,13.182,66.544,21.113,61.731
TRINITY_DN33993_c0_g1,13.017,8.398,10.911,14.885,17.701,8.749,13.053,7.567,13.618,9.578,14.488,9.021,15.298,16.99,10.829,11.54,10.435,14.049,4.995,7.841,8.533,9.985,2.627
TRINITY_DN33994_c1_g4,2.997,0.383,3.412,3.986,4.039,4.816,3.36,3.617,2.197,3.21,3.892,1.759,3.751,2.862,4.075,2.68,2.316,3.017,1.531,1.852,1.959,1.546,0.349
TRINITY_DN33995_c0_g8,199.694,179.679,196.449,167.224,175.003,176.584,188.407,182.84,203.285,140.27,169.639,168.664,160.455,185.998,179.585,167.494,181.769,153.961,121.727,132.326,111.995,70.511,116.4
TRINITY_DN33996_c1_g18,71.188,69.331,63.238,70.496,59.762,56.549,83.821,66.04,66.525,56.14,68.775,62.302,64.451,60.015,63.545,61.987,56.548,61.766,34.736,32.227,29.203,60.233,15.657
TRINITY_DN33997_c0_g2,135.042,114.233,118.848,152.821,115.065,153.548,92.225,116.065,141.18,81.013,119.416,121.012,110.115,126.362,114.097,120.05,74.38,76.178,82.068,93.139,88.335,75.622,72.725
TRINITY_DN33997_c0_g3,36.226,37.061,36.153,35.011,42.766,35.409,43.941,39.92,32.785,25.947,31.507,37.866,30.404,33.28,36.709,30.288,20.148,21.547,19.897,21.257,23.74,24.623,14.761
TRINITY_DN34_c0_g1,0.55,0.678,0.314,0.818,0.361,2.319,0.746,0.855,0.499,1.499,1.288,1.111,0.393,0.609,0.572,0.68,1.989,1.58,3.692,3.039,4.958,1.365,8.261
TRINITY_DN34_c0_g2,0.706,0,0,0,0,0.723,0,0.581,0.166,0.424,0.662,0.429,0,0.197,0.229,0,2.697,0.22,1.148,2.895,1.181,1.239,1.473
TRINITY_DN34000_c2_g16,26.583,26.15,22.184,28.256,13.964,34.874,32.976,22.717,26.773,17.139,20.539,29.056,27.546,24.457,24.606,27.277,17.669,20.576,25.843,27.39,15.611,15.375,21.883
TRINITY_DN34001_c0_g6,28.096,22.186,25.113,28.814,27.131,19.047,26.835,27.343,30.134,15.866,26.472,28.837,28.193,29.687,26.321,29.226,14.849,13.039,15.626,13.722,11.299,9.512,4.146
TRINITY_DN34002_c0_g2,5.317,2.686,2.068,3.68,2.309,3.896,2.834,3.625,2.634,12.934,4.482,2.146,2.118,2.459,2.14,2.373,9.958,9.362,16.277,24.099,20.499,12.158,21.579
TRINITY_DN34003_c0_g1,17.389,31.227,30.368,41.209,56.117,55.498,51.31,64.697,30.606,23.016,41.641,39.894,19.766,37.606,16.129,44.648,27.695,27.516,24.405,18.236,26.002,21.447,25.862
TRINITY_DN34005_c0_g2,4.217,2.565,1.802,3.791,1.763,4.384,3.141,3.446,2.065,28.64,5.561,3.618,2.088,3.314,2.973,2.431,22.6,23.852,15.905,33.36,27.173,20.194,34.153
TRINITY_DN34007_c0_g1,20.671,20.021,21.726,22.765,21.883,23.299,24.668,21.187,22.423,13.557,23.687,24.983,22.555,20.666,21.201,22.872,14.808,15.37,14.25,13.236,9.704,12.144,9.78
TRINITY_DN34009_c0_g11,2.365,1.965,0.7,1.412,2.234,3.943,2.114,1.932,1.61,6.566,5.407,4.578,1.24,2.401,0.743,1.377,4.632,3.677,18.211,14.639,12.38,5.083,30.053
TRINITY_DN34009_c0_g7,4.244,3.903,2.43,5.157,4.014,10.166,5.035,5.899,3.965,24.183,14.815,11.057,2.588,4.605,1.437,4.471,20.012,8.715,33.754,22.156,26.527,8.997,56.674
TRINITY_DN34010_c0_g1,42.441,41.703,44.916,45.706,47.922,37.465,50.986,35.867,40.951,33.23,40.607,27.625,47.528,32.071,32.438,50.92,22.805,40.659,25.212,21.743,15.843,43.298,13.986
TRINITY_DN34011_c0_g1,20.176,21.777,30.215,9.859,8.128,29.974,9.255,15.963,11.868,10.639,21.274,22.484,6.463,23.371,20.613,23.726,6.266,9.517,14.064,11.024,1.838,7.242,1.929
TRINITY_DN34013_c4_g1,348.788,413.049,378.607,366.773,380.075,454.729,392.507,402.188,347.844,471.976,412.734,429.175,333.804,319.909,392.678,340.985,464.755,461.638,456.878,501.862,647.854,438.833,679.647
TRINITY_DN34014_c1_g2,53.313,90.778,97.677,89.712,114.132,75.718,135.474,97.939,52.679,77.497,74.826,116.905,86.929,96.132,105.848,107.938,52.134,49.957,33.589,28.613,21.064,28.814,9.506
TRINITY_DN34014_c1_g7,11.623,16.344,8.256,11.057,17.978,23.656,13.861,10.79,12.533,14.327,16.874,21.533,17.078,15.748,13.916,13.356,6.716,11.758,11.593,13.47,11.097,12.228,2.521
TRINITY_DN34016_c0_g1,47.171,47.945,45.713,41.525,40.037,46.927,34.406,38.269,44.758,36.812,53.752,49.243,40.333,35.18,30.307,50.671,40.283,35.881,25.284,22.246,23.094,30.263,15.277
TRINITY_DN34017_c0_g1,66.558,82.884,71.003,78.98,70.191,58.877,107.437,84.174,100.422,88.641,77.094,66.039,75.436,74.546,63.953,69.768,60.049,66.414,51.065,43.09,49.328,86.68,46.272
TRINITY_DN34020_c0_g2,5.243,2.973,2.165,5.11,2.544,6.909,2.509,3.317,3.046,11.966,6.441,3.501,2.465,3.511,2.352,2.746,17.573,7.964,21.82,31.634,29.738,8.649,29.37
TRINITY_DN34022_c0_g1,12.577,8.659,12.303,10.416,17.978,14.879,19.142,12.167,9.89,7.601,17.627,13.278,8.866,14.498,9.865,13.041,7.67,9.802,7.808,6.69,7.038,7.952,4.617
TRINITY_DN34023_c0_g1,34.952,43.233,38.261,37.325,41.137,36.714,38.836,39.552,39.096,31.134,38.711,40.626,38.508,31.833,37.959,35.208,30.365,28.72,19.742,22.498,17.298,25.082,7.578
TRINITY_DN34024_c0_g1,41.708,32.662,38.632,41.311,42.892,44.167,42.74,44.947,35,18.492,42.094,45.599,39.132,44.201,34.766,40.268,20.584,22.583,21.913,21.833,21.165,21.085,8.155
TRINITY_DN34025_c0_g1,25.474,40.469,28.38,23.852,30.607,23.862,34.493,18.605,37.188,32.116,29.285,32.885,24.072,41.093,23.398,33.067,26.578,38.989,21.034,14.315,27.123,35.151,15.247
TRINITY_DN34025_c0_g2,12.457,12.371,11.523,10.695,8.414,9.603,10.22,9.755,9.111,7.681,12.329,9.307,13.688,8.939,11.376,9.266,7.983,7.976,10.558,7.391,10.33,7.409,8.064
TRINITY_DN34027_c0_g1,1.751,3.799,0.958,2.797,1.99,3.764,5.711,2.12,1.715,2.096,5.207,1.641,1.803,3.133,3.847,4.836,1.866,3.03,2.12,1.924,1.575,2.27,1.731
TRINITY_DN34028_c0_g4,59.894,72.226,64.759,75.663,84.096,83.35,76.663,73.196,77.903,53.885,85.332,82.91,72.255,84.57,78.139,89.902,65.498,64.239,61.551,56.901,52.64,53.869,31.192
TRINITY_DN34029_c0_g1,15.051,13.701,11.684,13.687,20.329,15.329,18.571,17.724,13.82,11.992,15.368,14.726,14.312,13.659,13.271,16.99,9.468,11.719,8.718,7.517,10.512,11.378,8.626
TRINITY_DN34030_c0_g1,29.681,26.011,30.875,24.4,25.2,22.905,37.923,29.873,31.149,23.414,30.337,24.495,30.181,30.41,26.346,24.722,19.072,23.891,21.737,19.315,20.62,21.392,13.971
TRINITY_DN34031_c0_g1,39.389,40.895,40.506,40.967,40.432,35.653,50.837,37.252,42.386,17.006,43.6,42.082,42.012,42.326,41.846,27.011,24.507,29.42,26.97,29.656,28.395,23.578,19.802
TRINITY_DN34032_c0_g1,13.686,4.573,4.064,9.654,4.299,8.599,3.904,7.695,5.47,4.59,5.18,11.2,2.65,5.082,6.109,5.069,10.653,3.444,30.548,13.236,33.414,3.245,83.917
TRINITY_DN34033_c1_g1,0.99,0.435,0.274,0.427,0,0.779,0.781,0.804,0.499,2.122,0.925,1.052,0.508,1.25,0.555,0.622,2.629,0.984,3.806,4.586,12.451,2.563,9.825
TRINITY_DN34035_c0_g1,15.766,12.649,16.866,16.056,18.524,13.762,18.115,15.877,17.907,11.528,13.445,14.145,16.045,17.574,15.239,19.089,11.225,11.421,5.284,8.452,6.654,11.935,2.536
TRINITY_DN34037_c0_g8,58.483,58.038,60.486,64.819,55.462,57.948,65.057,61.209,62.7,35.127,56.129,75.093,49.153,60.804,77.739,40.227,39.969,46.771,37.932,38.81,37.059,34.761,24.07
TRINITY_DN34038_c0_g1,3.685,2.678,1.295,3.457,6.021,1.286,3.027,10.166,1.532,3.436,2.576,1.498,2.057,0.946,15.125,1.502,6.866,3.781,13.102,4.568,6.008,3.551,11.951
TRINITY_DN34039_c0_g1,59.766,54.778,33.49,58.547,43.698,31.72,72.154,38.748,48.916,36.573,47.148,50.875,56.987,68.378,62.402,40.865,30.665,35.946,14.84,29.458,26.002,10.57,6.165
TRINITY_DN34041_c3_g6,35.447,43.607,37.497,36.507,32.958,25.702,74.347,35.704,38.886,25.205,64.121,50.858,34.209,26.118,38.539,47.95,29.03,33.913,19.028,20.502,19.57,32.937,12.073
TRINITY_DN34042_c0_g1,51.837,50.927,54.001,49.655,52.095,53.263,51.319,56.883,52.705,36.799,50.159,49.537,51.98,45.41,46.787,42.699,34.002,38.277,30.745,27.462,26.81,45.791,16.948
TRINITY_DN34043_c0_g1,10.807,11.919,13.389,14.82,14.174,12.504,13.203,13.141,8.104,5.996,16.693,16.712,10.199,13.544,12.577,12.394,8.187,7.433,10.827,6.42,5.13,8.481,2.49
TRINITY_DN34044_c0_g1,38.775,38.999,40.37,40.233,36.099,42.778,41.213,38.663,35.682,28.189,46.168,31.033,33.277,39.999,42.075,35.166,40.909,32.592,35.677,31.202,27.183,26.656,29.552
TRINITY_DN34045_c2_g1,27.436,50.91,12.408,41.636,28.978,22.867,23.668,23.641,30.545,16.555,30.655,18.344,36.836,18.626,31.466,22.449,16.497,17.597,14.209,17.93,15.339,15.292,16.31
TRINITY_DN34046_c1_g1,26.959,23.229,27.608,25.747,23.923,22.032,26.914,25.795,24.663,17.073,31.934,24.083,24.095,24.432,25.358,24.655,16.715,19.333,14.054,17.858,22.245,19.4,11.329
TRINITY_DN34047_c1_g2,44.027,43.033,50.629,47.843,26.014,48.269,65.987,50,46.833,23.44,49.198,41.93,50.74,44.242,37.109,38.775,28.948,30.067,30.041,28.253,23.063,18.857,23.614
TRINITY_DN34048_c0_g1,76.687,69.609,57.308,72.773,69.544,61.027,63.662,60.114,58.893,52.744,64.911,60.939,56.825,81.042,68.976,58.876,46.522,42.64,54.84,49.132,53.538,51.487,48.519
TRINITY_DN34049_c0_g1,101.575,73.808,46.775,144.357,90.621,80.402,47.836,90.723,86.821,75.216,72.513,150.11,67.748,17.45,92.724,45.893,41.699,16.95,43.454,6.42,28.506,76.068,7.487
TRINITY_DN34049_c0_g2,334.057,277.29,308.618,338.907,352.583,339.66,349.145,287.397,310.131,312.603,277.333,289.474,275.754,239.097,358.387,232.915,286.201,316.845,205.812,151.443,218.789,230.669,140.379
TRINITY_DN34049_c0_g3,130.257,52.587,114.374,59.69,68.914,51.339,129.938,48.7,55.821,42.49,131.427,39.743,112.018,42.663,117.6,33.764,81.818,54.333,35.864,45.572,40.159,26.071,59.058
TRINITY_DN34049_c0_g5,253.135,249.297,200.746,293.656,294.064,274.644,264.526,259.054,250.809,291.338,178.357,242.722,199.602,205.274,230.913,214.83,235.102,253.926,145.409,120.583,176.388,211.617,70.721
TRINITY_DN34049_c0_g6,434.183,395.627,443.905,418.881,441.634,396.049,541.447,355.078,435.146,408.911,388.148,319.8,383.042,384.389,486.636,324.626,353.947,407.564,208.791,216.186,241.226,284.399,137.372
TRINITY_DN34050_c0_g1,64.835,64.871,73.441,61.623,61.995,53.573,58.934,61.149,51.445,45.488,66.462,34.433,65.268,53.337,63.292,58.992,42.748,46.421,31.541,25.07,24.83,50.638,12.954
TRINITY_DN34051_c0_g1,1.815,3.251,1.505,6.987,2.662,7.303,3.307,2.565,1.777,6.275,4.092,3.61,1.949,8.297,1.968,2.256,10.748,2.849,13.516,8.614,12.915,6.476,34.396
TRINITY_DN34054_c0_g2,15.235,8.259,12.142,15.759,11.689,13.49,16.238,9.311,10.511,5.916,14.806,14.137,14.004,14.333,17.044,9.001,6.988,7.122,9.349,6.924,10.471,9.651,1.655
TRINITY_DN34056_c0_g1,24.631,21.847,39.662,35.225,9.707,19,14.132,22.136,25.022,19.076,9.036,23.704,26.391,10.172,20.213,9.565,22.736,24.875,17.89,15.322,14.743,24.999,16.295
TRINITY_DN34057_c0_g1,10.037,13.762,12.4,8.632,10.034,13.086,9.097,7.473,14.047,6.951,13.917,10.998,11.67,13.347,12.128,13.655,7.465,7.795,10.279,4.118,6.331,6.922,4.935
TRINITY_DN34057_c0_g2,14.657,16.761,14.17,11.169,13.343,18.146,12.299,8.045,14.73,11.236,18.67,15.205,13.373,18.421,16.676,17.065,8.433,9.621,12.358,9.082,8.957,9.22,10.159
TRINITY_DN34058_c0_g1,21.551,8.494,9.262,13.938,15.073,36.685,21.186,17.074,13.995,111.351,18.398,12.243,14.066,10.238,6.689,11.598,70.552,35.842,74.861,102.725,343.032,29.929,194
TRINITY_DN34061_c0_g4,42.13,44.572,35.453,39.992,36.947,33.775,43.582,32.361,39.962,22.233,41.831,50.404,39.686,45.097,33.81,35.73,23.908,34.224,15.295,23.757,16.692,29.037,7.289
TRINITY_DN34062_c3_g3,75.853,75.677,79.701,73.981,67.437,76.337,75.979,86.38,68.459,44.732,76.06,83.263,83.709,70.228,75.019,83.282,46.576,61.364,49.338,52.873,51.004,60.205,27.547
TRINITY_DN34063_c0_g1,31.304,26.22,25.315,26.389,26.837,45.838,33.748,29.283,30.195,50.303,37.286,30.68,24.403,27.376,26.975,27.26,63.033,43.534,45.295,87.708,50.388,48.228,88.686
TRINITY_DN34065_c0_g1,21.789,22.716,21.259,24.735,24.41,29.476,30.651,25.231,20.883,17.325,27.062,20.414,23.856,19.309,22.254,25.941,19.998,22.738,14.964,14.999,18.873,17.59,15.368
TRINITY_DN34066_c0_g1,41.479,38.599,31.494,30.737,36.687,41.426,36.169,34.499,36.584,25.297,36.96,32.674,35.542,31.743,33.23,34.61,27.681,27.529,33.299,22.876,25.588,24.428,36.021
TRINITY_DN34067_c0_g1,242.611,242.655,214.715,263.142,195.399,193.04,221.067,246.759,249.882,237.52,200.529,206,206.303,221.392,221.75,257.728,178.731,253.939,133.785,182.52,173.975,294.523,185.329
TRINITY_DN34068_c0_g1,49.664,66.48,74.761,75.988,65.858,56.352,72.496,53.129,63.803,61.99,65.5,56.572,80.112,59.99,60.466,65.065,48.988,58.762,36.98,29.134,39.886,61.682,22.369
TRINITY_DN34069_c3_g1,1.283,1.017,0.845,2.026,1.26,2.262,1.088,0.581,0.893,2.507,1.406,1.414,1.125,1.826,0.645,0.846,4.019,2.421,2.771,7.535,6.19,4.415,6.348
TRINITY_DN3407_c0_g1,0.238,0.469,16.978,18.37,0,0,14.51,16.518,15.771,0.371,15.994,0,15.214,15.822,13.467,0,8.092,13.415,10.114,0,0,0,0
TRINITY_DN3407_c0_g2,21.541,22.516,8.9,4.599,21.009,23.243,9.799,8.14,5.33,18.24,9.508,21.39,8.389,6.661,8.208,21.096,9.155,6.811,6.308,16.204,17.308,19.316,11.632
TRINITY_DN34070_c0_g2,1.613,1.565,0.821,1.394,0.445,0.798,1.298,1.436,1.199,12.098,1.678,1.372,0.709,1.538,0.849,0.996,3.419,2.408,13.454,9.1,34.141,4.164,23.614
TRINITY_DN34073_c0_g1,4.446,5.712,7.081,4.711,4.686,7.407,6.544,5.566,4.332,3.86,7.249,4.948,5.677,4.934,3.683,5.907,4.387,3.418,5.45,5.917,7.745,4.178,9.279
TRINITY_DN34074_c0_g3,20.047,25.637,27.503,21.473,33.571,26.754,30.055,29.112,25.705,16.794,31.761,24.823,33,27.466,23.471,35.49,18.295,17.649,16.846,17.48,13.652,17.952,8.109
TRINITY_DN34075_c0_g4,64.844,53.422,52.102,53.874,61.92,58.502,72.68,59.225,70.034,37.462,49.924,50.227,57.288,57.169,45.064,53.409,32.831,41.941,33.578,31.652,30.303,42.491,19.453
TRINITY_DN34077_c0_g10,3.346,3.017,2.1,3.085,2.385,4.159,2.57,2.155,3.772,2.361,4.518,4.014,3.135,4.449,2.017,3.244,9.645,0.958,9.607,12.481,20.478,1.824,12.225
TRINITY_DN34077_c0_g2,70.335,55.595,52.544,68.601,51.919,79.238,67.987,74.974,72.835,60.743,60.574,63.64,71.962,53.847,51.891,71.909,73.345,60.341,53.609,89.704,45.006,51.487,36.765
TRINITY_DN34077_c0_g9,43.339,38.373,31.245,38.152,40.852,35.841,37.467,38.928,29.897,21.238,37.613,43.916,42.621,35.78,48.935,38.294,19.562,26.377,32.585,30.807,41.29,22.715,37.251
TRINITY_DN34078_c0_g1,44.659,26.585,47.837,35.885,30.322,34.245,49.573,47.187,44.268,40.115,21.936,39.852,43.368,24.473,49.221,45.578,18.472,33.745,18.015,19.243,20.589,37.379,12.574
TRINITY_DN3408_c0_g1,0.431,0,0,0,0,0,1.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN3408_c0_g2,4.547,2.026,0.853,4.479,1.486,3.041,0.254,5.002,4.201,5.598,1.987,5.646,1.155,1.9,1.74,3.667,18.105,7.135,17.963,8.56,10.593,10.041,37.008
TRINITY_DN34082_c0_g2,40.562,37.617,38.583,38.17,38.332,25.045,39.511,34.542,39.805,36.003,42.557,52.609,41.211,35.978,32.201,27.227,32.409,35.402,27.839,34.296,27.688,25.194,47.198
TRINITY_DN34083_c1_g2,23.751,38.956,6.099,30.719,3.678,7.313,25.695,16.228,1.374,24.196,0.726,22.459,17.933,28.79,31.058,22.424,16.211,8.3,5.047,0.683,7.493,13.161,11.617
TRINITY_DN34084_c0_g1,5.775,3.104,2.02,3.949,2.452,4.534,2.684,3.334,2.923,19.222,4.826,2.348,3.004,3.766,1.715,2.962,23.431,16.691,20.176,21.077,17.378,22.171,18.952
TRINITY_DN34084_c0_g2,1.292,1.869,0.756,0.892,1.008,1.596,2.36,0.923,2.459,10.851,2.939,1.388,0.947,1.595,0.833,1.012,12.41,6.928,8.904,17.085,6.109,10.974,31.663
TRINITY_DN34085_c1_g1,50.37,38.095,46.026,47.629,39.189,60.848,54.074,44.793,50.692,49.507,54.904,50.143,40.11,29.868,43.667,43.587,46.495,42.446,48.149,47.945,44.986,43.02,38.83
TRINITY_DN34085_c1_g3,38.151,34.374,36.379,33.292,33.395,37.314,36.301,35.67,35.42,22.976,33.875,33.962,32.145,33.313,33.1,33.059,22.9,26.985,22.234,23.703,22.134,23.62,13.288
TRINITY_DN34086_c0_g1,54.193,37.017,21.774,45.52,37.812,105.626,34.116,36.423,34.65,331.294,100.927,46.028,29.557,38.839,34.267,40.683,360.854,251.997,295.068,505.819,231.684,366.789,668.166
TRINITY_DN34086_c0_g2,19.506,13.805,11.482,18.165,10.186,34.226,16.747,13.338,15.132,185.4,31.217,15.584,12.718,15.608,12.495,15.098,134.552,95.899,115.005,166.298,81.681,170.519,251.312
TRINITY_DN34087_c0_g4,34.402,26.324,37.98,37.26,37.266,36.864,41.397,36.559,34.763,25.868,35.499,27.381,41.512,34.678,40.801,38.717,25.842,24.771,20.848,23.091,22.195,25.792,14.973
TRINITY_DN34087_c0_g5,25.391,19.665,25.29,27.922,30.38,31.579,27.519,25.06,24.663,21.994,26.5,20.784,28.725,28.108,31.466,28.737,20.271,22.712,19.007,20.034,18.459,23.731,13.166
TRINITY_DN34087_c0_g7,8.268,7.468,4.377,7.08,5.651,11.988,5.062,5.737,6.59,1.088,12.002,12.95,6.34,7.64,9.473,6.487,1.512,0.699,12.316,2.032,0.596,0.265,0.85
TRINITY_DN34088_c0_g2,170.626,173.854,183.309,180.91,179.016,192.965,152.562,201.684,198.192,134.141,179.046,166.754,168.212,193.391,167.049,142.332,131.855,130.524,88.222,101.016,131.12,131.636,64.981
TRINITY_DN3409_c0_g1,0,0.156,0.29,0.335,0,0.197,0.474,0.376,0.175,1.406,0.345,0.177,0,0,0,0,0.027,1.411,2.099,0,0,0.237,3.781
TRINITY_DN3409_c0_g2,0.156,0,0,0.455,0.386,0,0.886,0,0.149,0.65,0,0,0,0.419,0,0,1.499,0,0.858,3.363,3.494,0,0
TRINITY_DN34090_c0_g2,71.316,61.759,50.999,65.758,59.157,55.854,64.934,56.31,60.617,41.906,49.216,57.733,69.489,64.422,51.213,56.512,48.347,42.394,35.171,29.026,24.437,42.881,16.689
TRINITY_DN34091_c0_g2,1.137,1.008,0.587,0.966,0.68,2.29,1.088,0.915,1.322,4.059,1.66,1.043,0.454,1.365,0.555,1.037,3.61,3.807,7.932,5.953,6.877,3.705,10.357
TRINITY_DN34091_c0_g3,57.676,58.212,60.365,64.884,74.549,56.699,67.68,68.887,66.262,50.117,58.424,54.881,68.657,60.706,54.488,47.867,47.516,51.42,37.859,36.993,24.841,38.842,21.837
TRINITY_DN34101_c0_g1,61.572,49.823,53.815,56.113,53.262,49.311,55.504,56.079,56.232,40.487,53.979,46.575,54.337,49.456,50.054,47.859,31.959,34.599,31.944,32.137,33.484,38.8,21.017
TRINITY_DN34103_c0_g1,30.928,20.647,32.838,30.003,28.374,32.827,30.353,26.462,24.243,13.173,31.244,23.317,31.274,22.647,26.811,31.906,14.862,17.688,18.687,19.009,18.105,19.01,7.745
TRINITY_DN34107_c0_g1,66.934,73.322,67.575,64.243,70.493,70.301,75.794,81.583,73.465,44.28,73.048,64.095,69.659,68.279,68.682,71.162,47.462,46.603,43.63,41.417,42.623,43.354,23.402
TRINITY_DN34108_c1_g2,44.036,43.616,48.038,51.783,46.15,52.935,52.135,45.947,50.412,28.892,47.456,42.679,46.819,36.323,44.909,46.963,30.856,33.188,25.936,28.487,23.477,29.65,15.505
TRINITY_DN34112_c0_g1,37.94,42.199,37.972,47.564,38.811,41.717,45.854,32.071,39.42,34.544,44,41.055,34.941,41.002,36.873,37.116,31.469,34.211,24.126,25.501,29.395,35.931,22.885
TRINITY_DN34113_c0_g1,845.368,939.939,822.022,984.813,839.821,953.241,825.324,956.753,844.299,772.719,768.631,895.492,811.748,955.129,884.476,1002.648,719.651,786.55,450.911,384.75,498.023,721.477,223.841
TRINITY_DN34113_c0_g3,46.529,46.241,41.874,64.949,46.704,42.28,35.072,59.67,45.651,41.481,28.423,64.86,46.411,37.589,54.308,60.626,32.845,48.972,35.595,31.598,23.548,27.617,18.785
TRINITY_DN34113_c0_g4,48.143,49.075,46.823,60.629,47.771,61.712,54.039,50.487,50.789,45.594,59.268,52.28,47.366,56.002,61.03,57.341,43.429,39.662,54.571,54.366,92.556,35.304,76.142
TRINITY_DN34114_c0_g1,7.058,6.364,10.493,9.31,11.521,10.777,11.913,10.286,5.409,7.614,11.63,11.494,9.082,10.074,12.961,9.383,6.634,7.471,5.626,6.762,3.686,7.2,1.989
TRINITY_DN34115_c0_g1,26.418,27.315,30.867,30.672,31.556,33.513,43.31,31.96,26.554,30.113,39.509,28.366,19.512,34.703,27.84,23.676,32.545,37.487,15.915,19.279,34.181,30.597,4.419
TRINITY_DN34116_c0_g1,9.515,10.458,7.572,12.339,1.889,16.099,7.211,3.146,3.518,22.883,20.24,8.692,4.267,11.167,2.14,5.948,21.81,13.739,117.591,40.176,65.323,14.916,107.106
TRINITY_DN34117_c0_g1,28.389,28.515,37.883,25.943,28.458,27.298,24.896,28.369,32.47,21.888,31.535,28.846,31.821,23.963,25.178,23.917,15.217,24.072,21.768,15.61,25.285,25.472,15.277
TRINITY_DN34117_c0_g2,36.098,36.009,46.195,41.404,47.107,39.361,50.916,41.724,41.441,26.213,46.404,39.759,35.85,39.571,41.609,44.142,24.793,34.017,21.624,19.675,22.134,40.471,12.969
TRINITY_DN34119_c0_g1,3.016,3.295,1.931,5.166,2.88,7.04,3.053,1.907,1.374,10.427,2.894,1.919,1.787,2.533,1.976,2.124,9.563,5.529,17.89,13.668,17.934,12.799,38.967
TRINITY_DN3412_c0_g1,2.796,1.452,0.547,1.821,0.974,3.661,1.088,1.479,1.024,11.912,1.225,0.934,0.963,2.475,1.968,2.066,11.007,10.398,9.452,8.201,11.713,6.044,21.367
TRINITY_DN34120_c0_g1,103.069,61.768,71.116,83.812,66.563,87.133,58.021,67.57,87.276,62.189,75.715,57.918,58.651,56.569,79.38,65.289,57.72,45.968,40.714,43.449,25.648,48.758,27.608
TRINITY_DN34124_c0_g1,20.964,19.639,19.537,19.578,19.464,18.577,21.387,24.658,15.666,12.907,27.461,20.212,21.022,23.042,20.997,19.703,11.28,14.529,8.904,10.718,10.28,11.476,3.037
TRINITY_DN34127_c0_g1,3.162,1.878,1.416,2.695,1.805,3.858,2.07,1.83,1.917,16.728,3.438,1.447,1.518,1.982,1.119,1.518,13.2,11.706,12.927,44.331,11.047,15.765,25.102
TRINITY_DN34129_c0_g1,27.756,31.54,29.507,35.727,27.391,40.3,21.905,27.873,37.652,48.141,28.559,38.977,31.452,35.575,33.369,37.24,38.253,30.261,60.383,71.109,58.719,37.672,70.691
TRINITY_DN34130_c0_g1,20.249,16.057,11.499,8.558,14.745,27.298,7.588,16.074,5.96,43.577,13.708,3.921,9.729,5.534,17.248,23.353,44.083,30.404,43.982,42.029,35.423,29.859,68.322
TRINITY_DN34130_c0_g3,13.035,5.242,5.021,11.55,3.795,8.411,3.044,10.097,5.243,54.004,13.282,6.109,4.244,7.228,1.642,8.545,55.69,51.226,75.233,92.959,59.304,54.203,125.041
TRINITY_DN34130_c0_g4,0,0,0,0,0,0,31.879,0.197,0.184,1.048,0.181,0,0,0,0,0,0,0,0,0.108,0,0,0.38
TRINITY_DN34130_c0_g5,20.066,11.276,4.192,18.565,9.556,19.45,2.465,10.841,15.509,44.267,18.679,16.728,5.169,13.725,8.967,10.079,71.833,37.94,138.884,151.623,107.653,40.165,254.668
TRINITY_DN34130_c0_g9,12.549,19.717,8.803,25.589,8.708,45.284,11.334,9.012,12.489,123.158,31.462,15.146,6.347,52.844,10.69,10.751,114.05,49.555,148.625,139.376,146.478,83.129,274.638
TRINITY_DN34131_c0_g1,16.802,14.118,14.001,15.192,18.91,16.625,17.422,16.219,14.108,9.976,16.665,18.378,15.776,15.09,16.146,16.21,9.468,11.123,9.204,8.363,8.442,13.523,4.799
TRINITY_DN34132_c1_g5,23.338,17.344,23.826,21.38,19.28,23.637,23.387,22.05,19.762,12.019,20.503,22.678,20.737,21.175,22.834,21.926,12.356,12.172,16.929,16.329,12.198,10.849,7.775
TRINITY_DN34133_c0_g2,0.568,0.904,1.014,0.883,0.773,0.197,0,0.564,0.35,0,1.37,1.052,0.462,1.538,0.425,0.639,0,0,1.034,0,0,0,0
TRINITY_DN34133_c1_g1,36.886,31.505,33.063,34.324,35.167,36.16,42.441,34.225,33.713,25.072,38.729,32.354,29.248,36.208,33.067,33.665,21.551,23.683,26.587,29.278,17.823,19.289,15.368
TRINITY_DN34134_c0_g2,33.284,29.071,31.124,26.955,27.358,29.429,29.555,29.42,31.14,15.428,32.542,29.586,32.869,28.1,30.927,30.388,15.244,16.613,17.591,19.243,12.996,16.225,4.525
TRINITY_DN34135_c0_g2,1.815,3.999,2.639,1.245,0.638,7.979,4.132,3.668,7.448,6.076,26.744,7.018,4.414,3.174,5.929,2.87,12.996,3.043,24.447,46.111,11.784,0.766,43.781
TRINITY_DN34137_c1_g8,37.335,40.816,45.97,50.789,55.429,46.27,55.012,40.424,44.224,31.187,45.769,40.946,44.015,42.523,43.496,50.505,35.91,35.544,28.335,25.106,19.166,27.324,10.661
